rank,a,b,c,d,e,f,g,h
8,10.04,10.70,23.57,29.28,9.92,10.70,23.69,10.73
7,10.65,24.36,10.71,10.71,13.68,25.64,29.29,10.65
6,10.75,10.71,10.71,10.71,25.64,29.29,24.36,10.75
5,10.65,10.71,10.71,10.71,10.71,25.64,10.71,10.65
4,10.75,10.71,25.64,29.29,24.36,10.71,25.64,10.75
3,13.63,25.64,10.71,10.71,10.71,10.71,10.71,10.65
2,10.75,10.71,10.71,10.71,10.71,13.68,10.71,10.75
1,9.36,10.76,11.23,10.96,11.21,10.77,9.37,10.71
