rank,a,b,c,d,e,f,g,h
8,25.71,11.10,10.20,11.10,10.19,14.53,10.33,14.56
7,29.97,11.11,11.11,25.26,11.11,11.11,11.11,11.05
6,11.15,11.11,11.11,14.54,25.26,11.11,11.11,14.58
5,11.05,11.11,11.11,11.11,11.11,11.11,11.11,26.43
4,11.15,11.11,11.11,11.11,26.49,11.11,25.26,11.15
3,11.05,25.26,11.11,11.11,11.11,26.49,11.11,11.05
2,11.15,11.11,26.49,11.11,11.11,11.11,25.26,11.15
1,9.60,11.18,30.46,11.43,14.95,11.19,9.61,11.13
