rank,a,b,c,d,e,f,g,h
8,25.07,13.85,24.94,10.65,9.92,10.65,23.81,10.68
7,10.60,10.66,10.66,10.66,10.66,10.66,10.66,10.60
6,25.71,29.31,24.41,29.31,10.66,29.31,10.66,10.70
5,13.80,10.66,29.31,10.66,10.66,10.66,13.86,10.60
4,10.70,10.66,10.66,10.66,25.67,10.66,10.66,10.70
3,10.60,10.66,10.66,25.67,29.31,10.66,10.66,10.60
2,24.45,10.66,10.66,10.66,10.66,10.66,25.67,29.35
1,9.35,24.47,11.22,10.93,14.40,10.73,9.36,10.67
