rank,a,b,c,d,e,f,g,h
8,24.26,11.00,9.83,11.00,24.20,11.00,9.90,11.03
7,10.93,11.00,11.00,25.37,11.00,11.00,11.00,10.93
6,11.04,11.00,11.00,11.00,11.00,11.00,11.00,13.01
5,10.93,11.00,11.00,11.00,11.00,11.00,11.00,10.93
4,11.04,11.00,11.00,11.00,11.00,11.00,11.00,11.04
3,10.93,11.00,11.00,24.14,11.00,11.00,11.00,10.93
2,11.04,11.00,24.14,11.00,11.00,11.00,11.00,11.04
1,9.48,25.43,11.37,11.22,11.35,11.06,9.50,10.99
