rank,a,b,c,d,e,f,g,h
8,10.02,29.32,9.92,10.98,9.92,10.98,10.03,29.35
7,10.92,24.39,10.99,10.99,10.99,10.99,10.99,25.54
6,11.02,10.99,10.99,10.99,10.99,10.99,10.99,11.02
5,10.92,10.99,10.99,10.99,13.50,10.99,10.99,10.92
4,11.02,10.99,10.99,10.99,25.61,10.99,10.99,13.54
3,10.92,10.99,10.99,10.99,29.33,10.99,29.33,10.92
2,11.02,10.99,10.99,10.99,10.99,10.99,10.99,11.02
1,9.51,11.06,13.93,11.25,11.39,11.06,9.53,11.00
