rank,a,b,c,d,e,f,g,h
8,25.05,29.47,9.98,13.88,9.98,10.88,10.12,10.91
7,29.42,10.88,10.88,10.88,10.88,10.88,13.88,10.83
6,10.92,10.88,10.88,10.88,24.60,10.88,10.88,10.92
5,10.83,10.88,29.48,10.88,10.88,10.88,10.88,10.83
4,10.92,29.48,10.88,10.88,10.88,10.88,10.88,10.92
3,10.83,10.88,10.88,10.88,10.88,25.83,10.88,10.83
2,24.64,10.88,10.88,10.88,24.60,13.88,10.88,29.52
1,9.46,10.95,11.37,11.17,14.35,10.95,9.48,25.83
