rank,a,b,c,d,e,f,g,h
8,9.83,10.82,9.75,10.82,9.75,10.82,9.85,28.97
7,10.76,10.83,10.83,10.83,28.95,10.83,10.83,10.76
6,10.86,10.83,10.83,10.83,23.92,10.83,10.83,10.86
5,10.76,10.83,10.83,10.83,10.83,10.83,10.83,25.11
4,10.86,10.83,10.83,10.83,10.83,12.88,10.83,10.86
3,10.76,10.83,10.83,10.83,10.83,25.17,10.83,25.11
2,10.86,10.83,10.83,10.83,10.83,10.83,10.83,10.86
1,9.39,10.88,11.26,24.12,11.24,10.89,9.41,23.91
