rank,a,b,c,d,e,f,g,h
8,10.21,29.66,10.06,10.86,25.26,10.86,25.42,10.89
7,10.81,26.07,10.87,26.07,10.87,10.87,10.87,26.02
6,10.91,29.67,10.87,10.87,10.87,10.87,10.87,14.28
5,29.61,10.87,10.87,10.87,10.87,24.82,14.24,10.81
4,10.91,10.87,10.87,10.87,10.87,10.87,10.87,14.28
3,29.61,10.87,10.87,10.87,10.87,10.87,10.87,10.81
2,10.91,10.87,26.07,14.24,10.87,10.87,10.87,10.91
1,9.47,10.94,30.18,25.12,11.36,24.90,12.86,10.89
