rank,a,b,c,d,e,f,g,h
8,10.45,11.11,25.90,11.11,10.28,14.96,10.45,14.99
7,30.20,11.12,11.12,11.12,14.97,11.12,11.12,11.07
6,11.16,14.97,25.53,11.12,11.12,11.12,11.12,11.16
5,11.07,11.12,11.12,11.12,11.12,11.12,11.12,11.07
4,11.16,11.12,26.74,30.26,11.12,11.12,11.12,11.16
3,14.92,11.12,14.97,26.74,11.12,26.74,11.12,11.07
2,11.16,11.12,25.53,11.12,25.53,30.26,11.12,15.01
1,28.76,26.82,11.59,25.89,11.57,11.21,9.63,11.15
