rank,a,b,c,d,e,f,g,h
8,10.14,11.05,24.96,11.05,10.02,11.05,10.14,13.86
7,11.00,24.76,11.06,26.00,11.06,11.06,11.06,11.00
6,11.10,29.63,11.06,13.84,11.06,11.06,11.06,11.10
5,11.00,26.00,11.06,11.06,11.06,11.06,11.06,11.00
4,11.10,11.06,26.00,11.06,11.06,11.06,11.06,11.10
3,11.00,11.06,11.06,11.06,11.06,11.06,11.06,24.70
2,24.80,11.06,11.06,11.06,24.76,13.84,11.06,11.10
1,9.54,11.13,11.46,11.33,11.44,11.14,9.56,11.07
