rank,a,b,c,d,e,f,g,h
8,9.61,28.39,9.55,10.69,9.55,10.69,9.62,10.71
7,10.62,10.69,10.69,10.69,10.69,10.69,28.39,10.62
6,10.72,10.69,10.69,10.69,10.69,10.69,10.69,10.72
5,10.62,10.69,28.39,10.69,10.69,10.69,10.69,10.62
4,10.72,10.69,10.69,10.69,10.69,10.69,24.52,10.72
3,10.62,10.69,10.69,10.69,10.69,10.69,10.69,10.62
2,24.56,10.69,10.69,10.69,24.52,10.69,10.69,10.72
1,9.29,10.73,11.13,10.84,11.11,10.74,9.32,10.66
