rank,a,b,c,d,e,f,g,h
8,10.11,11.19,10.00,11.19,10.00,11.19,24.84,11.22
7,11.12,11.19,11.19,11.19,13.67,11.19,11.19,11.12
6,11.23,29.60,11.19,11.19,11.19,11.19,11.19,11.23
5,11.12,11.19,11.19,11.19,11.19,24.72,11.19,11.12
4,11.23,11.19,11.19,11.19,24.72,11.19,11.19,11.23
3,11.12,11.19,11.19,11.19,13.67,11.19,11.19,11.12
2,11.23,11.19,11.19,11.19,11.19,13.67,11.19,29.64
1,9.62,11.27,11.56,11.46,11.53,11.27,9.64,11.20
