rank,a,b,c,d,e,f,g,h
8,10.45,11.36,10.31,11.37,10.31,14.83,25.91,14.86
7,11.31,11.37,11.37,11.37,11.37,25.66,14.83,11.31
6,26.87,11.37,11.37,11.37,11.37,14.83,11.37,14.88
5,11.31,11.37,30.38,11.37,11.37,11.37,11.37,11.31
4,25.70,11.37,11.37,11.37,11.37,11.37,11.37,11.41
3,11.31,25.66,11.37,11.37,11.37,11.37,11.37,11.31
2,11.41,11.37,11.37,30.38,11.37,11.37,11.37,14.88
1,9.75,11.46,11.75,11.72,11.73,11.47,9.76,11.41
