rank,a,b,c,d,e,f,g,h
8,25.46,10.80,10.06,29.65,10.06,10.81,10.20,10.83
7,10.76,26.07,10.81,10.81,10.81,24.81,29.66,26.02
6,10.85,14.26,10.81,10.81,10.81,10.81,24.81,10.85
5,10.76,26.07,14.26,10.81,10.81,10.81,10.81,10.76
4,26.11,10.81,10.81,10.81,10.81,10.81,24.81,14.30
3,10.76,10.81,14.26,10.81,14.26,24.81,10.81,10.76
2,10.85,10.81,10.81,10.81,10.81,29.66,10.81,10.85
1,28.28,10.87,11.34,26.37,11.32,10.88,28.30,26.08
