rank,a,b,c,d,e,f,g,h
8,10.27,10.98,10.12,10.98,10.12,10.98,24.35,11.01
7,10.93,25.07,29.87,10.99,10.99,25.07,10.99,10.93
6,11.03,10.99,10.99,10.99,25.07,29.87,10.99,11.03
5,10.93,25.07,14.39,10.99,10.99,10.99,29.87,10.93
4,11.03,10.99,10.99,10.99,10.99,14.39,10.99,14.43
3,10.93,10.99,10.99,25.07,10.99,10.99,29.87,10.93
2,25.11,10.99,10.99,10.99,25.07,10.99,10.99,11.03
1,12.93,11.06,11.47,11.30,14.85,11.07,28.43,11.01
