rank,a,b,c,d,e,f,g,h
8,10.08,10.81,9.95,10.82,9.95,10.82,10.09,13.79
7,10.76,10.82,10.82,24.45,10.82,25.68,10.82,10.76
6,24.49,10.82,10.82,10.82,25.68,10.82,10.82,29.41
5,10.76,10.82,10.82,10.82,13.76,10.82,10.82,10.76
4,10.86,10.82,10.82,29.37,10.82,10.82,10.82,10.86
3,29.31,10.82,13.76,10.82,29.37,10.82,10.82,10.76
2,10.86,10.82,10.82,10.82,10.82,10.82,10.82,10.86
1,27.98,25.74,14.27,11.10,11.31,10.89,27.99,10.83
