rank,a,b,c,d,e,f,g,h
8,9.94,10.94,9.85,29.18,9.85,10.95,9.95,10.98
7,10.88,10.95,10.95,10.95,10.95,10.95,29.18,10.88
6,10.99,10.95,10.95,10.95,10.95,10.95,10.95,10.99
5,13.15,10.95,10.95,10.95,10.95,10.95,10.95,10.88
4,10.99,10.95,10.95,10.95,10.95,10.95,24.22,10.99
3,10.88,10.95,10.95,10.95,10.95,10.95,13.22,25.37
2,10.99,10.95,24.22,10.95,24.22,10.95,10.95,29.22
1,9.47,11.01,11.37,11.19,11.34,11.02,9.49,10.95
