rank,a,b,c,d,e,f,g,h
8,10.06,10.90,9.95,13.67,9.94,10.90,10.07,10.93
7,29.35,24.51,10.91,10.91,10.91,10.91,10.91,10.85
6,24.55,10.91,10.91,10.91,10.91,10.91,10.91,10.95
5,10.85,25.75,13.68,24.51,10.91,10.91,10.91,10.85
4,10.95,10.91,10.91,10.91,24.51,10.91,10.91,10.95
3,29.35,25.75,10.91,10.91,29.42,10.91,10.91,10.85
2,10.95,10.91,10.91,13.68,10.91,10.91,10.91,10.95
1,9.47,25.82,11.37,11.17,11.35,10.99,9.48,10.92
