rank,a,b,c,d,e,f,g,h
8,9.82,10.79,9.72,10.79,9.72,10.79,22.86,10.82
7,10.73,10.79,10.79,10.79,10.79,10.79,10.79,10.73
6,23.86,28.85,10.79,10.79,10.79,10.79,10.79,10.83
5,10.73,10.79,28.85,10.79,10.79,25.07,10.79,10.73
4,25.11,10.79,10.79,10.79,10.79,28.85,10.79,10.83
3,10.73,23.83,10.79,10.79,10.79,10.79,12.81,10.73
2,10.83,10.79,10.79,10.79,10.79,10.79,10.79,10.83
1,9.37,10.85,11.24,10.99,11.21,10.85,9.39,10.79
