rank,a,b,c,d,e,f,g,h
8,9.91,10.69,9.82,10.69,9.82,10.69,23.33,10.72
7,10.64,10.70,10.70,10.70,10.70,25.40,29.07,10.64
6,10.73,10.70,10.70,10.70,10.70,10.70,10.70,10.73
5,10.64,10.70,10.70,24.11,10.70,24.11,10.70,10.64
4,10.73,10.70,10.70,10.70,10.70,10.70,25.40,10.73
3,10.64,24.11,10.70,10.70,10.70,10.70,10.70,25.34
2,24.15,10.70,25.40,10.70,10.70,10.70,25.40,13.28
1,9.33,10.74,11.18,24.33,11.16,25.45,9.34,24.10
