rank,a,b,c,d,e,f,g,h
8,10.57,11.29,10.42,15.34,26.24,11.29,10.57,11.32
7,11.25,11.30,11.30,27.13,15.34,11.30,11.30,11.25
6,11.34,11.30,27.13,11.30,25.93,11.30,11.30,15.39
5,11.25,27.13,11.30,11.30,15.34,27.13,15.34,11.25
4,11.34,30.59,11.30,15.34,11.30,11.30,25.93,11.34
3,30.53,11.30,11.30,11.30,11.30,11.30,11.30,11.25
2,11.34,11.30,11.30,11.30,11.30,11.30,25.93,11.34
1,9.73,11.39,15.78,11.69,15.76,11.40,29.03,11.34
