rank,a,b,c,d,e,f,g,h
8,24.85,13.71,10.03,11.22,10.03,11.22,10.14,11.25
7,11.15,11.22,11.22,11.22,11.22,11.22,11.22,11.15
6,11.26,11.22,11.22,11.22,25.95,11.22,11.22,11.26
5,11.15,11.22,11.22,11.22,11.22,11.22,11.22,11.15
4,11.26,13.72,11.22,11.22,25.95,11.22,25.95,11.26
3,11.15,11.22,29.64,11.22,11.22,11.22,13.72,11.15
2,11.26,11.22,11.22,11.22,11.22,11.22,11.22,11.26
1,9.63,11.30,11.57,11.49,11.55,11.30,9.65,11.23
