rank,a,b,c,d,e,f,g,h
8,9.88,10.54,9.76,28.86,9.76,10.54,9.89,10.57
7,10.49,10.55,28.86,10.55,28.86,25.12,10.55,10.49
6,10.59,10.55,10.55,10.55,25.12,13.24,10.55,10.59
5,10.49,10.55,10.55,10.55,28.86,10.55,28.86,10.49
4,23.89,10.55,10.55,28.86,10.55,10.55,10.55,28.90
3,10.49,10.55,13.24,10.55,13.24,10.55,10.55,10.49
2,10.59,10.55,10.55,10.55,10.55,10.55,10.55,10.59
1,9.28,25.17,11.12,10.79,29.42,10.61,9.29,25.12
