rank,a,b,c,d,e,f,g,h
8,10.10,11.02,24.88,13.78,24.88,11.02,10.11,11.05
7,10.96,24.67,13.78,24.67,11.02,25.90,11.02,10.96
6,11.06,29.55,11.02,11.02,11.02,11.02,11.02,11.06
5,10.96,11.02,11.02,11.02,11.02,11.02,11.02,24.61
4,11.06,11.02,11.02,13.78,24.67,11.02,11.02,11.06
3,10.96,11.02,11.02,11.02,11.02,11.02,11.02,10.96
2,11.06,11.02,11.02,11.02,11.02,29.55,11.02,11.06
1,9.52,11.10,11.45,11.29,11.43,11.10,9.54,11.04
