rank,a,b,c,d,e,f,g,h
8,10.00,29.21,9.89,10.73,23.43,29.21,10.01,10.76
7,10.68,25.54,10.73,24.28,13.57,10.73,10.73,10.68
6,10.77,10.73,10.73,10.73,25.54,10.73,10.73,13.61
5,10.68,24.28,10.73,10.73,10.73,10.73,10.73,10.68
4,25.57,10.73,10.73,10.73,24.28,10.73,10.73,10.77
3,10.68,10.73,10.73,10.73,10.73,25.54,29.22,10.68
2,10.77,10.73,10.73,13.57,10.73,10.73,10.73,29.26
1,9.37,10.79,29.74,10.99,11.23,10.79,9.39,10.73
