rank,a,b,c,d,e,f,g,h
8,9.92,10.77,9.82,10.78,24.37,10.77,9.93,13.25
7,10.72,10.78,10.78,10.78,10.78,24.06,10.78,25.26
6,10.82,10.78,10.78,10.78,10.78,10.78,10.78,10.82
5,10.72,10.78,10.78,10.78,10.78,25.33,29.05,10.72
4,10.82,13.23,10.78,10.78,10.78,29.05,10.78,10.82
3,10.72,10.78,10.78,10.78,10.78,10.78,29.05,10.72
2,10.82,10.78,10.78,10.78,25.33,10.78,10.78,10.82
1,9.38,10.84,11.25,25.55,11.23,10.85,9.40,25.33
