rank,a,b,c,d,e,f,g,h
8,25.86,11.10,10.23,11.11,10.23,14.73,10.38,11.13
7,11.06,26.59,14.73,11.11,11.11,11.11,14.73,11.06
6,11.15,11.11,11.11,11.11,11.11,11.11,25.37,11.15
5,11.06,11.11,11.11,11.11,30.13,25.37,11.11,11.06
4,11.15,30.13,11.11,11.11,11.11,14.73,11.11,11.15
3,11.06,26.59,11.11,26.59,14.73,11.11,11.11,11.06
2,11.15,11.11,11.11,11.11,11.11,11.11,26.59,14.77
1,28.62,25.46,11.57,11.45,11.55,11.20,9.62,25.41
