rank,a,b,c,d,e,f,g,h
8,10.04,11.18,24.53,11.18,9.96,13.39,10.06,11.21
7,11.11,25.75,11.18,11.18,11.18,11.18,11.18,24.46
6,11.22,11.18,11.18,11.18,11.18,13.39,11.18,11.22
5,11.11,11.18,11.18,11.18,11.18,11.18,11.18,11.11
4,11.22,11.18,11.18,11.18,11.18,11.18,11.18,11.22
3,11.11,11.18,11.18,25.75,11.18,11.18,11.18,11.11
2,11.22,11.18,25.75,11.18,11.18,11.18,11.18,11.22
1,9.59,11.25,11.51,11.43,11.49,11.25,9.61,11.18
