rank,a,b,c,d,e,f,g,h
8,24.96,10.73,9.94,10.73,24.84,10.73,10.06,29.35
7,10.68,10.74,10.74,10.74,13.78,10.74,10.74,10.68
6,10.78,10.74,10.74,13.78,10.74,10.74,10.74,10.78
5,10.68,10.74,10.74,10.74,29.32,10.74,13.78,10.68
4,25.68,10.74,25.64,10.74,10.74,10.74,10.74,29.36
3,10.68,10.74,10.74,10.74,10.74,10.74,13.78,25.59
2,10.78,10.74,10.74,10.74,10.74,10.74,24.39,29.36
1,27.97,10.80,29.86,24.67,11.26,10.81,9.40,10.75
