rank,a,b,c,d,e,f,g,h
8,9.89,10.99,9.81,11.00,9.81,11.00,9.90,11.03
7,10.93,11.00,11.00,11.00,11.00,11.00,11.00,25.27
6,11.04,12.94,11.00,11.00,11.00,11.00,11.00,11.04
5,10.93,11.00,11.00,11.00,11.00,11.00,11.00,10.93
4,11.04,11.00,11.00,11.00,24.10,11.00,11.00,29.13
3,10.93,11.00,11.00,11.00,11.00,25.33,11.00,10.93
2,24.14,11.00,11.00,11.00,11.00,11.00,11.00,11.04
1,9.48,11.05,11.37,24.31,11.35,11.06,9.50,10.99
