rank,a,b,c,d,e,f,g,h
8,9.87,10.49,24.40,10.49,9.75,10.49,9.87,10.52
7,28.79,23.85,10.49,25.14,13.20,10.49,28.85,10.44
6,25.18,10.49,10.49,28.85,10.49,13.20,23.85,10.53
5,10.44,23.85,10.49,10.49,10.49,10.49,10.49,25.08
4,10.53,10.49,10.49,28.85,10.49,10.49,10.49,10.53
3,10.44,10.49,10.49,25.14,10.49,10.49,10.49,10.44
2,23.88,10.49,23.85,10.49,10.49,10.49,10.49,10.53
1,27.59,10.54,11.07,10.71,11.05,10.54,27.60,10.48
