rank,a,b,c,d,e,f,g,h
8,10.10,11.05,23.62,11.05,9.99,11.05,10.11,11.08
7,13.69,11.05,13.75,11.05,11.05,11.05,11.05,10.99
6,11.09,11.05,25.90,11.05,11.05,11.05,11.05,11.09
5,10.99,11.05,11.05,25.90,11.05,11.05,11.05,10.99
4,11.09,11.05,24.68,11.05,11.05,29.56,24.68,29.60
3,13.69,11.05,11.05,11.05,11.05,11.05,11.05,10.99
2,24.72,11.05,11.05,11.05,11.05,11.05,11.05,11.09
1,9.54,11.13,11.47,11.32,11.44,11.13,9.56,11.07
