rank,a,b,c,d,e,f,g,h
8,9.92,10.75,9.82,10.75,23.16,10.75,9.93,10.78
7,29.01,10.75,10.75,10.75,10.75,10.75,10.75,10.69
6,10.79,10.75,25.34,10.75,10.75,10.75,10.75,29.11
5,29.01,24.09,13.26,10.75,10.75,10.75,10.75,10.69
4,10.79,10.75,24.09,10.75,10.75,10.75,24.09,10.79
3,29.01,10.75,10.75,10.75,10.75,10.75,10.75,10.69
2,10.79,10.75,10.75,10.75,25.34,10.75,10.75,10.79
1,9.37,10.82,13.75,10.98,11.22,25.41,9.39,10.76
