rank,a,b,c,d,e,f,g,h
8,10.01,10.67,9.89,10.67,24.76,10.67,10.01,13.64
7,10.62,10.68,10.68,25.55,10.68,10.68,10.68,10.62
6,24.31,10.68,24.28,10.68,10.68,10.68,10.68,29.25
5,13.56,10.68,10.68,10.68,29.22,10.68,10.68,24.22
4,10.72,29.22,10.68,10.68,10.68,10.68,24.28,13.66
3,29.16,10.68,10.68,25.55,29.22,25.55,10.68,10.62
2,10.72,10.68,10.68,10.68,10.68,10.68,10.68,10.72
1,9.34,25.61,11.21,10.93,11.19,10.74,9.35,24.28
