rank,a,b,c,d,e,f,g,h
8,9.97,10.95,9.88,10.95,9.88,10.95,24.57,13.35
7,10.89,10.95,10.95,10.95,10.95,10.95,10.95,10.89
6,10.99,10.95,24.30,10.95,10.95,10.95,10.95,10.99
5,10.89,10.95,29.26,25.54,10.95,10.95,10.95,10.89
4,10.99,10.95,10.95,10.95,10.95,10.95,10.95,10.99
3,10.89,10.95,10.95,10.95,10.95,24.30,10.95,24.24
2,10.99,29.26,10.95,13.32,10.95,10.95,10.95,10.99
1,9.47,11.02,11.36,11.18,11.34,25.61,9.49,10.96
