rank,a,b,c,d,e,f,g,h
8,24.07,11.26,25.13,11.26,10.12,11.26,10.25,11.29
7,11.20,11.26,11.26,11.26,14.13,25.09,29.90,11.20
6,11.30,11.26,11.26,11.26,11.26,11.26,11.26,14.17
5,29.83,11.26,11.26,11.26,11.26,11.26,14.13,11.20
4,11.30,11.26,11.26,14.13,25.09,11.26,11.26,11.30
3,11.20,11.26,11.26,11.26,11.26,11.26,11.26,11.20
2,11.30,11.26,11.26,11.26,11.26,11.26,11.26,11.30
1,9.67,11.35,11.63,11.57,11.60,11.35,9.69,11.29
