rank,a,b,c,d,e,f,g,h
8,9.99,10.92,9.90,13.39,23.33,10.92,10.00,10.95
7,10.87,10.93,10.93,10.93,13.39,10.93,10.93,10.87
6,10.97,10.93,10.93,10.93,10.93,10.93,10.93,10.97
5,10.87,25.60,29.29,24.36,10.93,10.93,10.93,24.30
4,10.97,29.29,10.93,10.93,10.93,10.93,10.93,10.97
3,10.87,10.93,10.93,24.36,10.93,10.93,10.93,10.87
2,10.97,10.93,25.60,10.93,10.93,10.93,10.93,10.97
1,9.46,10.99,11.36,24.61,11.33,11.00,9.48,10.93
