rank,filename,score,material_proxy,pawn_fft_energy
1,board_004.png,0.4821,0.9642,12.3340
2,board_007.png,0.4613,0.9226,14.1120
3,board_001.png,0.4509,0.9018,11.8870
4,board_009.png,0.4388,0.8776,15.2030
5,board_003.png,0.4271,0.8542,13.4410
6,board_006.png,0.4102,0.8204,10.9980
7,board_002.png,0.3988,0.7976,12.7650
8,board_008.png,0.3841,0.7682,16.3310
9,board_005.png,0.3720,0.7440,11.2240
10,board_000.png,0.3614,0.7228,13.8870
